Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,3827,0,3,3.1576297412131704,1.0044574737548828,7.70878791809082,61780.0,32.082831950184556,0.0,3,3,4,4,4,5,5,5,7,8,8
grpc,gRPC Music Playlists,3927,0,2,1.6469513456239206,0.52642822265625,4.5833587646484375,28.21390374331551,32.92116045685256,0.0,2,2,2,2,2,2,3,3,4,5,5
grpc,gRPC Playlist Music,3824,0,2,1.7517941641508286,0.4391670227050781,4.3430328369140625,185.4544979079498,32.05768209498452,0.0,2,2,2,2,2,2,3,3,3,4,4
grpc,gRPC User Playlists,3781,0,2,1.6250846184803929,0.6058216094970703,3.88336181640625,9.062946310499868,31.697200837117276,0.0,2,2,2,2,2,2,3,3,3,4,4
grpc,gRPC Users,3938,0,3,3.067746629806991,0.8950233459472656,11.000633239746094,51890.0,33.01337659258604,0.0,3,3,4,4,4,4,5,5,6,11,11
,Aggregated,19297,0,2,2.252988496048868,0.4391670227050781,11.000633239746094,22885.895268694614,161.77225193172495,0.0,2,2,3,3,4,4,5,5,6,8,11
