Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET Music,2347,0,4,3.8872012624394605,1.3273610002215719,14.142433001325116,86781.0,19.683826229242417,0.0,4,4,4,5,5,6,7,7,12,14,14
GET,GET Music Playlists,2284,0,3,3.1888128839587226,1.0002540002460591,11.963697999817668,2.0,19.155457651295134,0.0,3,3,4,4,4,5,6,6,10,12,12
GET,GET Playlist Music,2336,0,3,3.206502698189948,1.3156460008758586,27.050102000430343,2.0,19.591571398172256,0.0,3,3,4,4,4,5,6,6,9,27,27
GET,GET User Playlists,2268,0,3,3.190545683410774,1.1190069999429397,12.84063399907609,13.17989417989418,19.021268806102174,0.0,3,3,4,4,4,5,6,6,11,13,13
GET,GET Users,2427,0,4,3.855584328801838,1.2811590004275786,34.59030199883273,74891.0,20.35477045520722,0.0,4,4,4,5,5,6,7,7,15,35,35
,Aggregated,11662,0,3,3.472008323517111,1.0002540002460591,34.59030199883273,33053.90121762991,97.8068945400192,0.0,3,4,4,4,5,5,6,7,12,31,35
