Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,3065,0,4,3.7890772640607873,1.3370513916015625,7.1659088134765625,61780.0,25.67046093969952,0.0,4,4,4,5,5,6,6,6,7,7,7
grpc,gRPC Music Playlists,3145,0,2,2.2121913103306805,0.6151199340820312,4.207372665405273,27.748171701112877,26.340489283965738,0.0,2,2,3,3,3,3,3,4,4,4,4
grpc,gRPC Playlist Music,3052,0,2,2.361567898471577,0.8289813995361328,5.331993103027344,185.61009174311926,25.56158133375626,0.0,2,3,3,3,3,3,4,4,4,5,5
grpc,gRPC User Playlists,3142,0,2,2.1537471014856915,0.675201416015625,4.081964492797852,9.51591343093571,26.315363221055755,0.0,2,2,3,3,3,3,3,4,4,4,4
grpc,gRPC Users,3084,0,4,3.6998609933717086,1.3644695281982422,7.474660873413086,51890.0,25.829592671462745,0.0,4,4,4,5,5,5,6,6,6,7,7
,Aggregated,15488,0,3,2.8380561342909316,0.6151199340820312,7.474660873413086,22602.53802944215,129.71748744994002,0.0,3,3,3,4,4,5,5,6,6,7,7
