Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
soap,SOAP Music,2796,0,83,102.39296426759428,19.472122192382812,368.3147430419922,106821.0,23.40699945744214,0.0,83,120,140,160,190,220,260,290,370,370,370
soap,SOAP Music Playlists,2728,0,66,83.96636653156224,1.068115234375,362.8060817718506,83.41715542521995,22.837730514986468,0.0,66,100,120,140,170,200,240,270,360,360,360
soap,SOAP Playlist Music,2705,0,66,85.01787705694682,1.3396739959716797,357.2671413421631,361.16598890942697,22.64518366680293,0.0,66,100,120,140,180,210,250,270,340,360,360
soap,SOAP User Playlists,2726,0,66,83.28722438126562,1.239776611328125,363.42334747314453,56.768158473954514,22.820987310796593,0.0,66,100,120,140,160,200,230,260,350,360,360
soap,SOAP Users,2819,0,82,102.572973081515,19.368648529052734,393.46981048583984,94931.0,23.59954630562568,0.0,82,120,140,160,190,230,260,290,360,390,390
,Aggregated,13774,0,80,91.58694048275427,1.068115234375,393.46981048583984,41211.06947872804,115.31044725565381,0.0,80,100,130,140,180,210,250,270,350,370,390
