Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,3752,0,9,9.68729001279149,4.163241999776801,46.8283230002271,86809.0,31.474723347044918,0.0,9,11,12,12,14,16,19,21,41,47,47
POST,GQL Music Playlists,3858,0,3,4.592537561194008,0.6600929991691373,47.89647100005823,60.04613789528253,32.36393461431218,0.0,3,5,6,7,10,12,14,16,41,48,48
POST,GQL Playlist Music,3891,0,4,4.750256186590316,0.9694090003904421,38.22497100009059,231.68003084040092,32.64076453714066,0.0,4,5,6,7,10,12,15,18,30,38,38
POST,GQL User Playlists,3780,0,3,4.629003879618582,0.6200500010891119,50.616713999261265,49.225132275132275,31.70960934217212,0.0,3,5,6,7,10,12,15,17,32,51,51
POST,GQL Users,3861,0,9,9.56250293859093,3.971643000113545,49.790234999818495,74920.0,32.38910097093295,0.0,9,11,12,12,14,16,18,20,32,50,50
,Aggregated,19142,0,6,6.632871558455799,0.6200500010891119,50.616713999261265,32195.835544875143,160.5781328116028,0.0,6,8,10,10,13,14,17,19,35,50,51
