Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,2279,0,11,11.296957530043892,4.444022999450681,47.60381699998106,86809.0,19.125903579764525,0.0,11,12,13,14,15,17,20,22,37,48,48
POST,GQL Music Playlists,2285,0,4,4.856634775054498,0.933589000851498,54.850208000061684,60.387746170678334,19.176256989803395,0.0,4,5,6,6,9,11,14,16,28,55,55
POST,GQL Playlist Music,2409,0,4,5.007525352025967,0.9984609987441218,49.256508000325994,231.67206309672062,20.21689413060673,0.0,4,5,6,6,10,12,14,16,38,49,49
POST,GQL User Playlists,2263,0,4,4.796328516141951,0.9511520001979079,43.40558300100383,48.903225806451616,18.991627819660867,0.0,4,5,6,6,9,11,14,17,30,43,43
POST,GQL Users,2352,0,11,10.915945806942192,4.262805001417291,53.71178499990492,74920.0,19.738536735237457,0.0,11,12,13,13,15,17,20,22,47,54,54
,Aggregated,11588,0,6,7.372687367531704,0.933589000851498,54.850208000061684,32348.662668277528,97.24921925507297,0.0,6,9,11,11,13,15,18,20,37,54,55
