Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,3106,0,10,10.536498392139272,4.196600000796025,57.34413299978769,86809.0,26.065743961321747,0.0,10,12,13,13,15,17,20,22,42,57,57
POST,GQL Music Playlists,3061,0,4,4.888678779184471,0.8830850001686485,58.01164600052289,62.0218882718066,25.688101180169305,0.0,4,5,6,7,10,12,15,18,36,58,58
POST,GQL Playlist Music,3112,0,4,5.115402374027457,1.05894599983003,54.27662100009911,231.655205655527,26.11609633214207,0.0,4,5,6,7,10,12,15,17,41,54,54
POST,GQL User Playlists,3046,0,4,4.787924917918101,0.8461050001642434,48.54688100022031,48.989166119500986,25.562220253118493,0.0,4,5,6,7,10,12,14,16,34,49,49
POST,GQL Users,3061,0,10,10.522269611891712,4.0846979991329135,43.85001700029534,74920.0,25.688101180169305,0.0,10,12,13,13,15,17,20,23,39,44,44
,Aggregated,15386,0,6,7.175512057651161,0.8461050001642434,58.01164600052289,32498.300727934486,129.1202629069209,0.0,6,9,10,11,13,15,18,20,39,57,58
