Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
soap,SOAP Music,2335,0,200,206.79688106512359,37.95027732849121,640.5153274536133,106821.0,19.507827524636593,0.0,200,240,260,280,340,380,430,470,600,640,640
soap,SOAP Music Playlists,2343,0,150,168.9913200609612,1.8689632415771484,622.0760345458984,86.00213401621852,19.574663764549694,0.0,150,200,230,240,280,350,390,420,520,620,620
soap,SOAP Playlist Music,2358,0,150,166.7310874071841,1.600503921508789,545.5935001373291,361.4020356234097,19.69998171438676,0.0,150,200,220,240,280,330,370,410,520,550,550
soap,SOAP User Playlists,2353,0,150,167.37132025839063,1.4605522155761719,699.1562843322754,58.24521886952826,19.65820906444107,0.0,150,200,230,250,290,340,380,410,540,700,700
soap,SOAP Users,2329,0,190,202.98034257262293,37.27316856384277,720.048189163208,94931.0,19.457700344701767,0.0,190,230,260,270,320,370,420,460,570,720,720
,Aggregated,11718,0,170,182.50001866493153,1.4605522155761719,720.048189163208,40255.33998975935,97.89838241271589,0.0,170,210,240,260,310,350,400,440,550,700,720
