Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET Music,3141,0,5,5.5560709646611075,2.427887000521878,34.418933999404544,86781.0,26.356940986394093,0.0,5,6,6,7,8,8,10,10,22,34,34
GET,GET Music Playlists,3082,0,4,4.8336582417378375,2.0690309993369738,33.636832999036415,2.0,25.861856771749952,0.0,4,5,6,6,7,8,9,10,19,34,34
GET,GET Playlist Music,3018,0,4,4.857364045729756,2.089155999783543,25.385127000845387,2.0,25.324816267729187,0.0,4,5,6,6,7,8,9,10,20,25,25
GET,GET User Playlists,3114,0,4,4.798267024703438,2.032966000115266,23.6432630008494,13.589916506101478,26.13037702376033,0.0,4,5,6,6,7,8,9,10,20,24,24
GET,GET Users,3144,0,5,5.485233948775203,2.635855000335141,24.795442999675288,74891.0,26.382114760020066,0.0,5,6,6,7,8,9,10,11,23,25,25
,Aggregated,15499,0,5,5.10973981166041,2.032966000115266,34.418933999404544,32782.17588231499,130.05610580965364,0.0,5,5,6,6,7,8,9,10,21,34,34
