Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,3620,0,27,30.773903724576428,10.122167999725207,127.09087500115857,92809.0,30.378262048498513,0.0,27,34,39,43,52,61,72,80,100,130,130
POST,GQL Music Playlists,3589,0,17,21.842171700773097,1.906878998852335,131.66700299916556,62.50543326831987,30.118116710514133,0.0,17,25,30,34,45,57,71,81,110,130,130
POST,GQL Playlist Music,3566,0,17,21.12060432808374,1.8784559997584438,120.8052799993311,243.58160403813798,29.925105653299916,0.0,17,24,30,34,44,54,65,71,100,120,120
POST,GQL User Playlists,3660,0,17,21.135252177874797,1.9093190003331983,126.64486700123234,49.52431693989071,30.713933452349327,0.0,17,24,30,33,43,53,65,74,100,130,130
POST,GQL Users,3560,0,27,30.80082878623727,10.009533998527331,133.46488299976045,80920.0,29.874754942722294,0.0,27,34,39,42,52,63,76,84,130,130,130
,Aggregated,17995,0,22,25.124486479634122,1.8784559997584438,133.46488299976045,34749.540594609614,151.01017280738418,0.0,22,29,34,38,48,58,70,79,110,130,130
