Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,3888,0,3,3.4644742929395824,1.1525154113769531,7.7724456787109375,61780.0,32.57264951656848,0.0,3,4,4,4,5,5,5,6,6,8,8
grpc,gRPC Music Playlists,3830,0,2,2.0019584785242306,0.5908012390136719,4.054784774780273,27.095822454308095,32.08674065032338,0.0,2,2,2,2,3,3,3,3,4,4,4
grpc,gRPC Playlist Music,3829,0,2,2.173407515523078,0.5755424499511719,4.248142242431641,185.29119874640898,32.07836291125019,0.0,2,2,3,3,3,3,4,4,4,4,4
grpc,gRPC User Playlists,3920,0,2,1.9478192134779326,0.4813671112060547,4.255056381225586,8.605102040816327,32.840737166910614,0.0,2,2,2,2,3,3,3,3,4,4,4
grpc,gRPC Users,3882,0,3,3.4303138822332477,1.161336898803711,8.204936981201172,51890.0,32.52238308212934,0.0,3,4,4,4,5,5,5,6,6,8,8
,Aggregated,19349,0,2,2.6053689704014538,0.4813671112060547,8.204936981201172,22868.603493720606,162.100873327182,0.0,2,3,3,3,4,5,5,5,6,8,8
