Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,2329,0,4,3.624519599564038,1.2481212615966797,9.375572204589844,61780.0,19.508842209896194,0.0,4,4,4,4,5,5,6,6,7,9,9
grpc,gRPC Music Playlists,2325,0,2,1.9353595856697328,0.5724430084228516,5.733966827392578,25.840860215053763,19.4753362550488,0.0,2,2,2,2,3,3,3,3,4,6,6
grpc,gRPC Playlist Music,2426,0,2,2.0538794532455107,0.9400844573974609,5.511760711669922,176.43281121187138,20.32136161494554,0.0,2,2,2,2,3,3,3,3,4,6,6
grpc,gRPC User Playlists,2286,0,2,1.9226527902397896,0.6597042083740234,6.161689758300781,8.03455818022747,19.148653195286688,0.0,2,2,2,2,3,3,3,3,4,6,6
grpc,gRPC Users,2291,0,3,3.5565731984358697,1.1734962463378906,8.654356002807617,51890.0,19.190535638845933,0.0,3,4,4,4,5,5,6,6,7,9,9
,Aggregated,11657,0,2,2.613641778651893,0.5724430084228516,9.375572204589844,22584.891738869348,97.64472891402316,0.0,2,3,3,4,4,5,5,6,7,9,9
