Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
soap,SOAP Music,2537,0,43,59.01870127968493,19.11783218383789,305.1912784576416,106821.0,21.25809788708942,0.0,43,61,78,80,100,130,170,200,250,310,310
soap,SOAP Music Playlists,2553,0,32,42.39082560556055,1.0485649108886719,326.3885974884033,81.62945554249902,21.392165512707642,0.0,32,45,62,64,98,120,140,170,230,330,330
soap,SOAP Playlist Music,2530,0,32,43.346603208850965,1.0797977447509766,288.81216049194336,360.199604743083,21.19944330088145,0.0,32,44,62,65,99,120,160,180,240,290,290
soap,SOAP User Playlists,2569,0,33,42.60588499672824,0.9331703186035156,251.14059448242188,57.08875048657065,21.526233138325864,0.0,33,44,62,65,98,120,150,170,240,250,250
soap,SOAP Users,2574,0,46,59.43738589846264,19.153356552124023,272.02582359313965,94931.0,21.568129271331557,0.0,46,61,78,81,110,130,160,180,270,270,270
,Aggregated,12763,0,41,49.366722470828755,0.9331703186035156,326.3885974884033,40478.229021389954,106.94406911033593,0.0,41,59,64,78,100,120,160,180,240,310,330
