Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
soap,SOAP Music,2229,0,120,128.1776169374311,37.2011661529541,461.0607624053955,106821.0,18.656067354804584,0.0,120,140,160,170,220,260,300,340,430,460,460
soap,SOAP Music Playlists,2259,0,79,96.33033726267078,1.424551010131836,422.6672649383545,80.7020805666224,18.907158436295898,0.0,79,100,120,130,180,220,270,300,400,420,420
soap,SOAP Playlist Music,2266,0,80,98.41903478617387,1.8072128295898438,399.20878410339355,361.4783759929391,18.965746355310536,0.0,80,100,120,140,190,220,270,310,370,400,400
soap,SOAP User Playlists,2151,0,78,94.77142498472135,1.3117790222167969,407.7908992767334,57.74105067410507,18.00323054292717,0.0,78,100,120,130,170,230,270,310,400,410,410
soap,SOAP Users,2265,0,120,130.83364779322878,37.31203079223633,449.42569732666016,94931.0,18.95737665259416,0.0,120,140,160,170,220,270,320,350,420,450,450
,Aggregated,11170,0,96,109.80548077432194,1.3117790222167969,461.0607624053955,40666.816562220236,93.48957934193234,0.0,96,120,140,150,200,240,290,330,410,460,460
