Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET Music,3157,0,4,3.735067792217482,1.230068999575451,18.12354700086871,86781.0,26.479881572250854,0.0,4,4,4,4,5,6,6,7,11,18,18
GET,GET Music Playlists,3042,0,3,3.170016971398402,1.0852610012079822,27.09460199912428,2.0,25.51529925333769,0.0,3,3,4,4,4,5,6,6,23,27,27
GET,GET Playlist Music,3123,0,3,3.1382128325464556,1.0826970010384684,15.460331998838228,2.0,26.19470071274609,0.0,3,3,4,4,4,5,6,6,10,15,15
GET,GET User Playlists,3084,0,3,3.1269309967616272,0.8382079995499225,23.93776600001729,13.392347600518807,25.867581491549455,0.0,3,3,4,4,4,5,6,6,10,24,24
GET,GET Users,3093,0,4,3.7098220568721727,1.2079790012649028,31.303026000387035,74891.0,25.943070542594832,0.0,4,4,4,4,5,6,6,7,13,31,31
,Aggregated,15499,0,3,3.3778549673518032,0.8382079995499225,31.303026000387035,32625.273372475644,130.00053357247893,0.0,3,4,4,4,5,5,6,7,13,27,31
