Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,2389,0,4,4.059682584996501,1.4700889587402344,9.119749069213867,61780.0,19.99301569967925,0.0,4,4,5,5,5,6,6,6,8,9,9
grpc,gRPC Music Playlists,2344,0,2,2.3964050483378125,0.8399486541748047,4.548788070678711,21.090443686006825,19.61642059441112,0.0,2,3,3,3,3,3,4,4,4,5,5
grpc,gRPC Playlist Music,2296,0,3,2.554284155576487,0.8752346038818359,4.862070083618164,141.99912891986062,19.21471914879178,0.0,3,3,3,3,3,4,4,4,4,5,5
grpc,gRPC User Playlists,2411,0,2,2.355683547043296,0.7536411285400391,4.278898239135742,6.670676068021568,20.177128862254783,0.0,2,3,3,3,3,3,4,4,4,4,4
grpc,gRPC Users,2258,0,4,3.990182209268305,1.4460086822509766,6.925106048583984,51890.0,18.896705504343135,0.0,4,4,5,5,5,6,6,6,7,7,7
,Aggregated,11698,0,3,3.066316978159797,0.7536411285400391,9.119749069213867,22666.403573260388,97.89798980948007,0.0,3,3,4,4,5,5,6,6,7,9,9
