Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,gRPC Music,3110,0,3,3.4000967093219328,1.1415481567382812,9.280681610107422,61780.0,26.06153245706032,0.0,3,4,4,4,5,5,5,6,7,9,9
grpc,gRPC Music Playlists,3133,0,2,1.789793814480438,0.5848407745361328,5.614280700683594,27.71082030003192,26.25427047844694,0.0,2,2,2,2,2,3,3,3,4,6,6
grpc,gRPC Playlist Music,3054,0,2,1.9117486812589055,0.7069110870361328,7.079362869262695,185.4158480681074,25.592257274553766,0.0,2,2,2,2,3,3,3,3,4,7,7
grpc,gRPC User Playlists,3171,0,2,1.7997855382249845,0.42891502380371094,5.058765411376953,9.116051718700726,26.572707209433528,0.0,2,2,2,2,2,3,3,3,4,5,5
grpc,gRPC Users,3024,0,3,3.2304784765949957,0.9915828704833984,13.179779052734375,51890.0,25.340859855353827,0.0,3,3,4,4,4,5,5,6,7,13,13
,Aggregated,15492,0,2,2.4203648408377108,0.42891502380371094,13.179779052734375,22575.080364058867,129.82162727484837,0.0,2,3,3,3,4,4,5,5,7,9,13
