Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,2945,0,23,26.37279133275357,9.937592998539913,98.19271199921786,92809.0,24.715469705013284,0.0,23,28,32,35,44,51,62,68,91,98,98
POST,GQL Music Playlists,2951,0,12,16.012854477804566,2.0051310002600076,101.41088400087028,61.806845137241616,24.765823802884277,0.0,12,18,23,25,33,42,52,58,87,100,100
POST,GQL Playlist Music,2895,0,12,16.012558903293836,1.9710619999386836,109.01409399957629,243.67081174438687,24.29585222275499,0.0,12,18,22,25,34,43,52,61,89,110,110
POST,GQL User Playlists,2967,0,13,16.430723071103085,1.9053460000577616,99.6145279987104,50.283788338388945,24.90010139720693,0.0,13,19,23,26,35,44,53,61,92,100,100
POST,GQL Users,2972,0,23,26.184128461298492,10.038888000053703,94.1773579997971,80920.0,24.94206314543276,0.0,23,29,32,35,43,50,61,68,87,94,94
,Aggregated,14730,0,18,20.220458058583738,1.9053460000577616,109.01409399957629,34952.73292600136,123.61931027329224,0.0,18,23,27,30,38,47,56,64,88,100,110
