Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL Music,2198,0,21,23.14769948223162,9.940354999343981,73.80949199978204,92809.0,18.447203424485124,0.0,21,24,27,29,36,42,49,55,69,74,74
POST,GQL Music Playlists,2231,0,9,12.51379462349421,2.0116169998800615,76.68936699883488,64.12774540564769,18.724163257518796,0.0,9,13,17,20,26,33,40,46,65,77,77
POST,GQL Playlist Music,2219,0,9,11.98067787875505,2.0428179996088147,73.36846699945454,243.71428571428572,18.623450590961095,0.0,9,13,16,19,25,30,38,43,64,73,73
POST,GQL User Playlists,2286,0,9,12.675362815395282,2.0363750008982606,72.75472899891611,49.42213473315836,19.18576297924158,0.0,9,14,18,20,27,33,40,46,62,73,73
POST,GQL Users,2278,0,22,23.382229740572757,9.959396000340348,101.13100300077349,80920.0,19.11862120153645,0.0,22,25,27,29,36,41,48,56,94,100,100
,Aggregated,11212,0,15,16.73409224268071,2.0116169998800615,101.13100300077349,34706.27827327863,94.09920145374305,0.0,15,20,23,25,31,38,45,50,69,94,100
