Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET Music,3959,0,5,5.625871971197085,2.5950479994207853,28.721663000396802,86781.0,33.224575061919886,0.0,5,6,6,7,8,9,10,12,24,29,29
GET,GET Music Playlists,3790,0,4,4.9128265767735675,1.8737720001809066,32.33224600080575,2.0,31.806299440433534,0.0,4,5,6,6,7,8,9,11,24,32,32
GET,GET Playlist Music,3880,0,5,4.9231921366060405,2.2231330003705807,24.38476899988018,2.0,32.56159415010082,0.0,5,5,6,6,7,8,10,11,19,24,24
GET,GET User Playlists,3785,0,5,4.97013509802867,2.025195000896929,25.06453100068029,14.340819022457067,31.764338623229794,0.0,5,5,6,6,7,8,10,11,19,25,25
GET,GET Users,3787,0,5,5.56917926695559,2.828550001140684,26.920877999145887,74891.0,31.78112295011129,0.0,5,6,6,7,8,9,10,11,21,27,27
,Aggregated,19201,0,5,5.2026909317208405,1.8737720001809066,32.33224600080575,32667.45565335139,161.13793022579532,0.0,5,6,6,6,7,8,10,11,20,32,32
